sample_id,cluster_sample_id,plant,date,label,split,fold,feat_400.00,feat_405.04,feat_410.08,feat_415.13,feat_420.17,feat_425.21,feat_430.25,feat_435.29,feat_440.34,feat_445.38,feat_450.42,feat_455.46,feat_460.50,feat_465.55,feat_470.59,feat_475.63,feat_480.67,feat_485.71,feat_490.76,feat_495.80,feat_500.84,feat_505.88,feat_510.92,feat_515.97,feat_521.01,feat_526.05,feat_531.09,feat_536.13,feat_541.18,feat_546.22,feat_551.26,feat_556.30,feat_561.34,feat_566.39,feat_571.43,feat_576.47,feat_581.51,feat_586.55,feat_591.60,feat_596.64,feat_601.68,feat_606.72,feat_611.76,feat_616.81,feat_621.85,feat_626.89,feat_631.93,feat_636.97,feat_642.02,feat_647.06,feat_652.10,feat_657.14,feat_662.18,feat_667.23,feat_672.27,feat_677.31,feat_682.35,feat_687.39,feat_692.44,feat_697.48,feat_702.52,feat_707.56,feat_712.61,feat_717.65,feat_722.69,feat_727.73,feat_732.77,feat_737.82,feat_742.86,feat_747.90,feat_752.94,feat_757.98,feat_763.03,feat_768.07,feat_773.11,feat_778.15,feat_783.19,feat_788.24,feat_793.28,feat_798.32,feat_803.36,feat_808.40,feat_813.45,feat_818.49,feat_823.53,feat_828.57,feat_833.61,feat_838.66,feat_843.70,feat_848.74,feat_853.78,feat_858.82,feat_863.87,feat_868.91,feat_873.95,feat_878.99,feat_884.03,feat_889.08,feat_894.12,feat_899.16,feat_904.20,feat_909.24,feat_914.29,feat_919.33,feat_924.37,feat_929.41,feat_934.45,feat_939.50,feat_944.54,feat_949.58,feat_954.62,feat_959.66,feat_964.71,feat_969.75,feat_974.79,feat_979.83,feat_984.87,feat_989.92,feat_994.96,feat_1000.00
VN_BS_3-9_3-12_20250416_raw_vnir_cube_bottom_right_mean_spectrum,VN_MD_BS_3-12_20250416_raw_vnir,MD_3-12,20250416,MD,test,-1,0.3541533350944519,0.2930483222007751,0.2378582507371902,0.1885805130004882,0.1452183723449707,0.1077686846256256,0.0633874982595443,0.0321081541478633,0.0194647442549467,0.0206228476017713,0.0233251843601465,0.0244137458503246,0.024654658511281,0.0246794931590557,0.0248160418123006,0.0251708962023258,0.025702653452754,0.026457043364644,0.0277576092630624,0.030008053407073,0.0336346849799156,0.0390434227883815,0.04620011895895,0.0546086281538009,0.0634904503822326,0.0720669999718666,0.0796005353331565,0.085420586168766,0.0890819579362869,0.0904168263077735,0.0895611941814422,0.086865946650505,0.0827668160200119,0.0777348801493644,0.0722926631569862,0.0670191124081611,0.0623780786991119,0.0585372224450111,0.0553915910422802,0.0526914969086647,0.05020722001791,0.0478370226919651,0.0455688796937465,0.0434000119566917,0.0413255169987678,0.0393428467214107,0.0374426357448101,0.035590261220932,0.033779714256525,0.0321332812309265,0.0309180617332458,0.0304621793329715,0.0310420170426368,0.0329787097871303,0.0369003787636756,0.0437791384756565,0.0546788461506366,0.0705096945166587,0.091910183429718,0.1191478222608566,0.1519379019737243,0.1892960518598556,0.22957643866539,0.2707638442516327,0.3108849227428436,0.3481989800930023,0.3813323378562927,0.4094277620315552,0.432220309972763,0.4500074982643127,0.4634798765182495,0.4735240340232849,0.480983018875122,0.4865688979625702,0.4907541871070862,0.4938995540142059,0.4962657392024994,0.4980782866477966,0.4994760751724243,0.5005491375923157,0.501346230506897,0.5018905401229858,0.5022254586219788,0.5024020075798035,0.5024610161781311,0.5024488568305969,0.5024119019508362,0.5023864507675171,0.5024012327194214,0.5024460554122925,0.5025185942649841,0.5025980472564697,0.5027022361755371,0.5028221607208252,0.5029481649398804,0.5030292272567749,0.5030437111854553,0.5029286742210388,0.5026713013648987,0.5022574067115784,0.5016605257987976,0.5008581280708313,0.4998081922531128,0.4984330534934997,0.4966528117656708,0.4943875074386596,0.4916549623012543,0.4885045289993286,0.4850822687149048,0.4815473556518554,0.478070467710495,0.4748055934906006,0.4718652665615082,0.4693242311477661,0.4672251939773559,0.4655812382698059,0.464348167181015,0.4635176956653595,0.4630984365940094,0.463082879781723
VN_BS_3-5_3-8_20250423_raw_vnir_cube.npy_top_left_mean_spectrum,,SD_3-5,20250423,SD,train,0,0.3412630558013916,0.2801424264907837,0.2255784273147583,0.1775742769241333,0.1361245959997177,0.1012334078550338,0.0607229247689247,0.0344919078052043,0.0279227774590253,0.0319852940738201,0.0353649482131004,0.0371158272027969,0.0380795709788799,0.0387141034007072,0.0392173379659652,0.0397482402622699,0.0404464900493621,0.0414522923529148,0.0429579131305217,0.0451491251587867,0.048179518431425,0.0520851649343967,0.0566741339862346,0.0616093501448631,0.0664928779006004,0.0709621384739875,0.074700079858303,0.0774965286254882,0.0792513564229011,0.0799634754657745,0.0797161310911178,0.07866171002388,0.0769700333476066,0.0748403146862983,0.0725027322769165,0.0702094808220863,0.0681579262018203,0.0664149448275566,0.064932495355606,0.0636010318994522,0.0623321123421192,0.0611057840287685,0.0599313005805015,0.0587855018675327,0.0576315857470035,0.0564601235091686,0.0552791804075241,0.0540874488651752,0.0529064200818538,0.0518353469669818,0.0510657988488674,0.0508583150804042,0.0515105314552784,0.0533863045275211,0.0569688193500041,0.0627950355410575,0.0713159143924713,0.0828137844800949,0.0974045321345329,0.1150340661406517,0.1354375034570694,0.1581468731164932,0.1825114637613296,0.2077468782663345,0.2329728752374649,0.2572697103023529,0.2797785997390747,0.299877792596817,0.3172457218170166,0.3318772614002228,0.3440287113189697,0.3541387021541595,0.3627049922943115,0.3701403141021728,0.3767308890819549,0.3826519250869751,0.388037770986557,0.392993301153183,0.3976168036460876,0.4019627273082733,0.4060739576816559,0.4099855422973633,0.4137090146541595,0.4172664582729339,0.4206549227237701,0.4238671958446502,0.4269061684608459,0.4297907054424286,0.4325502514839172,0.4352152347564697,0.4378245174884796,0.4403751492500305,0.4428602457046509,0.44526407122612,0.4476062655448913,0.4499206244945526,0.4522189497947693,0.4545038938522339,0.4567621350288391,0.4589866399765014,0.461145281791687,0.4631989002227783,0.465097576379776,0.4667955636978149,0.4682618677616119,0.4694832861423492,0.4704713821411133,0.4712538421154022,0.4718644618988037,0.4723640978336334,0.4727872908115387,0.4731963872909546,0.4736394584178924,0.4742098748683929,0.4750595390796661,0.476782888174057,0.4789558053016662,0.4815815985202789,0.4846555888652801,0.4881846606731415
VN_BS_3-5_3-8_20250422_raw_vnir_cube.npy_top_left_mean_spectrum,,SD_3-5,20250422,SD,train,0,0.3353429734706878,0.2761386036872864,0.2234939038753509,0.177407294511795,0.1378792971372604,0.1049128323793411,0.0671339407563209,0.0432765558362007,0.0388305820524692,0.0437046401202678,0.0466603673994541,0.0481427498161792,0.0490847490727901,0.0499040260910987,0.0507247112691402,0.0515992231667041,0.0526042729616165,0.0538227744400501,0.0553463697433471,0.0572829432785511,0.0597344413399696,0.0627904012799263,0.0663737058639526,0.0702288970351219,0.0740491598844528,0.0775474309921264,0.0805055946111679,0.0827573016285896,0.0841971114277839,0.0848007723689079,0.0846370086073875,0.0838329419493675,0.0825330913066864,0.080869972705841,0.0790255293250083,0.0772057473659515,0.0755703151226043,0.0741734579205513,0.0729786455631256,0.0718977302312851,0.0708604902029037,0.0698538497090339,0.0688889622688293,0.0679491683840751,0.0670097470283508,0.0660639777779579,0.0651304125785827,0.0642195269465446,0.0633471086621284,0.0625825375318527,0.0620850287377834,0.0620779730379581,0.0627920031547546,0.0644973590970039,0.0675532072782516,0.0723922550678253,0.0794200971722602,0.0889154598116874,0.1010028421878814,0.1156761571764946,0.1327687799930572,0.1519087553024292,0.1724996715784073,0.1937914490699768,0.2149665802717209,0.2352218925952911,0.2538517117500305,0.2703337967395782,0.2844018936157226,0.2960739135742187,0.3056054711341858,0.3133852481842041,0.3198178112506866,0.3252368867397308,0.3299073278903961,0.3340216875076294,0.3377187550067901,0.3410947918891907,0.3441947698593139,0.3470461964607239,0.349692553281784,0.352131724357605,0.3543799221515655,0.356438934803009,0.3583187162876129,0.3600388467311859,0.3616442680358886,0.3631650507450104,0.364652156829834,0.3661402463912964,0.3676421344280243,0.3691632747650146,0.3707038164138794,0.3722489476203918,0.3737865090370178,0.3752962946891784,0.3767820596694946,0.3782220184803009,0.3795859217643738,0.3808352947235107,0.3819291889667511,0.382859319448471,0.383620947599411,0.384233146905899,0.3846887946128845,0.3849632740020752,0.3850009739398956,0.384772777557373,0.3842974901199341,0.3836250007152557,0.3828782141208648,0.3822146654129028,0.3818063735961914,0.3818218111991882,0.3824206292629242,0.3841286301612854,0.3865492045879364,0.3896803855895996,0.3935279846191406,0.3980808556079864
VN_BS_1-9_1-12_20250419_raw_vnir_cube_top_right_mean_spectrum,VN_WW_BS_1-10_20250419_raw_vnir,WW_1-10,20250419,WW,train,4,0.3167450428009033,0.2646327614784241,0.216940775513649,0.1736658066511154,0.1348102241754531,0.1003723666071891,0.0568378046154975,0.0240638982504606,0.0102904168888926,0.0103100594133138,0.0128088546916842,0.0145462304353713,0.0157376192510128,0.0166248306632041,0.0172271560877561,0.0175562854856252,0.0176712553948164,0.0177414044737815,0.0180584490299224,0.0190178994089365,0.0211113560944795,0.0246757548302412,0.02967912517488,0.0357249118387699,0.0422280803322792,0.0485410951077938,0.0540866218507289,0.0583758018910884,0.0610775128006935,0.0620709918439388,0.0614566914737224,0.0594924986362457,0.0564993433654308,0.0528233051300048,0.0488457344472408,0.0449851527810096,0.0415737740695476,0.0387431718409061,0.0364298708736896,0.034447893500328,0.0326228216290473,0.0308807305991649,0.0292079709470272,0.0275973547250032,0.0260457210242748,0.0245561692863702,0.0231334939599037,0.0217723064124584,0.0204880870878696,0.0193763710558414,0.0186338871717453,0.0184903852641582,0.0191298704594373,0.0207965821027755,0.024010594934225,0.029585326090455,0.0384484976530075,0.0514895319938659,0.0694733336567878,0.0929275602102279,0.1219682097434997,0.1561190485954284,0.1942447870969772,0.2346767038106918,0.2755169570446014,0.3148224651813507,0.350845605134964,0.3823015391826629,0.408530443906784,0.4295006692409515,0.4456982612609863,0.4579753577709198,0.4672806560993194,0.4744504988193512,0.4800597727298736,0.4844881892204284,0.4879946708679199,0.490752637386322,0.4928910434246063,0.4944695830345154,0.4955394864082336,0.4961812794208526,0.4965403974056244,0.4967439770698547,0.4968771338462829,0.4969760477542877,0.4970532357692718,0.4971250593662262,0.4972142875194549,0.4973292052745819,0.4974494874477386,0.4975791275501251,0.4977096915245056,0.4978402554988861,0.4979362189769745,0.4979662597179413,0.4978714883327484,0.4976052045822143,0.497129887342453,0.4964014887809753,0.4953835010528564,0.4940422177314758,0.492326945066452,0.4901817142963409,0.4875606000423431,0.4844238758087158,0.4807874858379364,0.4767745733261108,0.4725591242313385,0.4683753550052643,0.4645144045352936,0.4612763226032257,0.4589019417762756,0.4575444757938385,0.4571934342384338,0.4573360681533813,0.4582374095916748,0.4598918855190277,0.4623036682605743,0.4654693901538849
VN_BS_2-17_2-20_20250417_raw_vnir_cube_bottom_left_mean_spectrum,VN_MD_BS_2-19_20250417_raw_vnir,MD_2-19,20250417,MD,test,-1,0.3335488736629486,0.268282413482666,0.2103631198406219,0.1597935408353805,0.1165714189410209,0.080697514116764,0.0405432060360908,0.0161453038454055,0.011996142566204,0.0161253251135349,0.0182477422058582,0.0193076152354478,0.0198620855808258,0.0201874580234289,0.0204636845737695,0.0208347477018833,0.0214152280241251,0.0224005356431007,0.0241433028131723,0.0270695053040981,0.0316411890089511,0.0381387919187545,0.0463307313621044,0.0555809028446674,0.065039113163948,0.0738747641444206,0.081354983150959,0.0869033187627792,0.0901942923665046,0.0911942571401596,0.090089812874794,0.0872252359986305,0.0830388590693473,0.0779481157660484,0.072461724281311,0.067166119813919,0.0625017955899238,0.0586189292371273,0.0554061532020568,0.0526106134057045,0.0500087067484855,0.0475362576544284,0.0451967902481555,0.0429674349725246,0.0408261716365814,0.0387813337147235,0.0368547812104225,0.0350295901298522,0.0333199501037597,0.0318572893738746,0.0308962259441614,0.0307275243103504,0.0316523164510726,0.0341780707240104,0.0391807034611702,0.0477572754025459,0.0609071403741836,0.0792884305119514,0.1031510159373283,0.132276564836502,0.1658617109060287,0.2025237679481506,0.2405095398426056,0.2780639231204986,0.3136780261993408,0.3460969626903534,0.3743839859962463,0.398068755865097,0.4171864986419678,0.4321732223033905,0.4436869323253631,0.452503353357315,0.4593453705310821,0.4648118913173675,0.4692945480346679,0.4730548560619354,0.4762718975543976,0.4790748357772827,0.4815559983253479,0.4837568998336792,0.4856712818145752,0.4873270690441131,0.4887794256210327,0.4900564551353454,0.4911696910858154,0.4921039938926697,0.4928769171237945,0.4935319721698761,0.4941429495811462,0.4947694838047027,0.4954688549041748,0.4962626993656158,0.4971674084663391,0.4981666505336761,0.4991934299468994,0.5001919865608215,0.5010914206504822,0.5018584728240967,0.5024756193161011,0.5029364228248596,0.5032076835632324,0.5032612085342407,0.5030274391174316,0.502476692199707,0.5015995502471924,0.5004087090492249,0.4989448189735412,0.4972547590732574,0.4953915774822235,0.4933877885341644,0.4912497997283935,0.4890643954277038,0.4870798289775848,0.4856671690940857,0.4852487444877624,0.4863105714321136,0.4883808493614197,0.4914533495903015,0.4955348670482635,0.5006272196769714
VN_BS_3-5_3-8__20250415_raw_vnir_cube_top_left_mean_spectrum,VN_MD_BS_3-5_20250415_raw_vnir,MD_3-5,20250415,MD,test,-1,0.3386082947254181,0.2758042216300964,0.2196243852376938,0.1700713634490966,0.127144381403923,0.0908414348959922,0.0484963916242122,0.0201858095824718,0.0135650411248207,0.0170419793576002,0.0196157786995172,0.0209870170801877,0.0217166859656572,0.0221749376505613,0.0224846601486206,0.0227588433772325,0.0231287144124507,0.0237754918634891,0.025024440139532,0.02729282528162,0.0310322269797325,0.0365273058414459,0.0436616577208042,0.0519106201827526,0.0605006031692028,0.0686615332961082,0.0756961107254028,0.0810308903455734,0.0843204855918884,0.0854761153459549,0.0846483260393142,0.0821678787469863,0.0784359276294708,0.0738632678985595,0.0689243450760841,0.0641530156135559,0.0599540919065475,0.0564652010798454,0.0535857565701007,0.0510704927146434,0.0487107969820499,0.046447779983282,0.0442953780293464,0.0422573015093803,0.040334116667509,0.0385353006422519,0.0368664190173149,0.0353058949112892,0.033858947455883,0.0326398685574531,0.0318906009197235,0.03188082203269,0.0328598544001579,0.0352655947208404,0.0399041175842285,0.0478136092424392,0.0599610321223735,0.0770412310957908,0.0993983000516891,0.126953586935997,0.1590842604637146,0.1945647299289703,0.2317332625389099,0.2688670456409454,0.3044480383396148,0.3371707797050476,0.3660125732421875,0.3904018402099609,0.4102659821510315,0.4260098040103912,0.4382824301719665,0.4478271007537842,0.4553415179252624,0.4613848030567169,0.4663762748241424,0.4705749452114105,0.4741478562355041,0.4772209227085113,0.4798556864261627,0.4820946156978607,0.4839525520801544,0.4854735434055328,0.4867273271083832,0.4878131151199341,0.4888215065002441,0.4898105561733246,0.4907935857772827,0.4917663931846618,0.4927197992801666,0.4936349093914032,0.494498074054718,0.4952844679355621,0.4960074424743652,0.4966621994972229,0.4972599744796753,0.4978073835372925,0.4983151257038116,0.4987499713897705,0.4991301298141479,0.4994425475597381,0.4997204542160034,0.499924749135971,0.5000302195549011,0.4999647140502929,0.4996383786201477,0.4989744126796722,0.4979050755500793,0.4964184165000915,0.4945674538612366,0.4924831390380859,0.4903658032417297,0.4884407222270965,0.4869276583194732,0.4859642386436462,0.4856507480144501,0.4859082102775574,0.4867172241210937,0.4880825579166412,0.4899822473526001,0.4924342632293701
VN_BS_1-9_1-12_20250422_raw_vnir_cube_top_right_mean_spectrum,VN_WW_BS_1-10_20250422_raw_vnir,WW_1-10,20250422,WW,train,4,0.2915500104427337,0.2384557276964187,0.1906533390283584,0.1481430977582931,0.1109263971447944,0.079001672565937,0.040441695600748,0.0137665346264839,0.0057090348564088,0.0088154515251517,0.0110561717301607,0.0122411660850048,0.0131098227575421,0.0137430047616362,0.0141494944691658,0.0143774710595607,0.0144916055724024,0.0146701196208596,0.0151716498658061,0.0163142923265695,0.0185234453529119,0.0220849756151437,0.0269259214401245,0.0326668582856655,0.0387537851929664,0.0445922128856182,0.0496407784521579,0.0534889586269855,0.0558617189526557,0.0566769503057003,0.0560384802520275,0.0541799962520599,0.0514002442359924,0.0480124950408935,0.0443504974246025,0.0407888628542423,0.0376348011195659,0.0350068435072898,0.0328424610197544,0.0309764742851257,0.0292526427656412,0.0276090800762176,0.0260392911732196,0.0245242733508348,0.0230513382703065,0.0216314736753702,0.0202828720211982,0.0190158542245626,0.0178611055016517,0.0169145390391349,0.0163510274142026,0.0163587871938943,0.0170933008193969,0.0187752060592174,0.0218736641108989,0.0271255411207675,0.0353782698512077,0.047444649040699,0.0640258714556694,0.0856362581253051,0.112456776201725,0.1441693753004074,0.1798622757196426,0.2181207686662674,0.2572315037250519,0.2953851819038391,0.3308652341365814,0.3623192608356476,0.3889673948287964,0.4106564819812774,0.4278025329113006,0.4411652684211731,0.4516202509403229,0.4599316716194153,0.4666454195976257,0.4721662402153015,0.4767804741859436,0.4806902408599853,0.4840202033519745,0.4868378341197967,0.4892005622386932,0.4911596477031708,0.4927870333194732,0.4941598773002624,0.4953040778636932,0.4962432980537414,0.4969808161258697,0.4975557029247284,0.4979736804962158,0.4982480704784393,0.4984154403209686,0.4985042512416839,0.4985584318637848,0.4985942542552948,0.4986399710178375,0.498684674501419,0.4987038969993591,0.4986793100833893,0.4985672533512115,0.4983100593090057,0.497824877500534,0.4970012903213501,0.4957248270511627,0.4938746094703674,0.491320937871933,0.4879951775074005,0.4839049875736236,0.4791545867919922,0.4739937782287597,0.4687208533287048,0.4637132883071899,0.4593024551868438,0.4557330906391144,0.4531267583370209,0.4514617323875427,0.4503802359104156,0.4500511884689331,0.4504799842834472,0.4516552686691284,0.4535849392414093
VN_BS_3-1_3-4_20250417_raw_vnir_cube_top_left_mean_spectrum,VN_MD_BS_3-1_20250417_raw_vnir,MD_3-1,20250417,MD,train,4,0.3653072118759155,0.2974322736263275,0.2366405874490738,0.1829371899366378,0.1363195329904556,0.0967888087034225,0.0507913082838058,0.0205344539135694,0.0121725043281912,0.01464269682765,0.0167078040540218,0.0176758244633674,0.0182086769491434,0.0186445042490959,0.019245920702815,0.0200254432857036,0.020976910367608,0.022175719961524,0.0240712407976388,0.0270901080220937,0.0317089110612869,0.0381987392902374,0.0463348440825939,0.0554715916514396,0.0647327303886413,0.0733215808868408,0.0805459469556808,0.0858223214745521,0.0888978019356727,0.0897397696971893,0.0885388329625129,0.0856439396739006,0.0814701616764068,0.0764462053775787,0.07108074426651,0.0659610629081726,0.0615098886191844,0.0578319504857063,0.0547873154282569,0.0521088279783725,0.0495855063199996,0.047166921198368,0.044869840145111,0.042689811438322,0.0406167954206466,0.0386644229292869,0.0368293710052967,0.0350828319787979,0.033442135900259,0.0320508666336536,0.0311726387590169,0.031099148094654,0.0321179516613483,0.0347248874604702,0.0397862792015075,0.0483507066965103,0.0613460540771484,0.0794105157256126,0.1028278395533561,0.1314438283443451,0.1645662188529968,0.2009492516517639,0.2389595359563827,0.2769011855125427,0.3132166862487793,0.3465291261672973,0.3757729828357696,0.400382399559021,0.4203045964241028,0.4359256327152252,0.4479134976863861,0.4570894837379455,0.4642238914966583,0.4698769450187683,0.4744168519973755,0.4780908524990082,0.4810881316661834,0.4835851490497589,0.4856749475002289,0.4873985946178436,0.4887621998786926,0.4897866547107696,0.4905282855033874,0.491046279668808,0.4914069175720215,0.4916593134403229,0.4918755292892456,0.4921370446681976,0.492496520280838,0.492991954088211,0.4936182796955108,0.4943341016769409,0.4951327741146087,0.4959808588027954,0.4968276917934418,0.4976299405097961,0.4983387887477875,0.4989014267921448,0.4992671310901642,0.4993859231472015,0.4992077648639679,0.4986820816993713,0.4977457523345947,0.4963167905807495,0.4943404495716095,0.491751492023468,0.4885880947113037,0.4849357008934021,0.4809658825397491,0.4769050180912018,0.4730184972286224,0.469547837972641,0.4666762053966522,0.4645241498947143,0.463109403848648,0.4622649848461151,0.4620431363582611,0.462439477443695,0.4634550511837005,0.4650890827178955
VN_BS_1-5_1-8_20250417_raw_vnir_cube_bottom_right_mean_spectrum,VN_WW_BS_1-8_20250417_raw_vnir,WW_1-8,20250417,WW,train,4,0.3211033046245575,0.2656919360160827,0.2155259251594543,0.1706054061651229,0.1309328526258468,0.096506580710411,0.0541863590478897,0.0241644103080034,0.0134482542052865,0.0153078148141503,0.0180944241583347,0.0195799153298139,0.0204090159386396,0.0208854544907808,0.0211600326001644,0.0213251933455467,0.0214742571115493,0.0217771083116531,0.0225142464041709,0.0240886267274618,0.0270210895687341,0.0316931009292602,0.0380393750965595,0.0456142500042915,0.0537145249545574,0.0615913979709148,0.0685455501079559,0.0739579275250434,0.0774028897285461,0.0787300392985344,0.0780766159296035,0.0757532119750976,0.0721494853496551,0.0676842182874679,0.0628230050206184,0.0580860711634159,0.0538908950984478,0.0503983460366725,0.0475303158164024,0.0450686775147914,0.0428071431815624,0.0406540445983409,0.0385905914008617,0.0366048365831375,0.034678928554058,0.0328122451901435,0.0310016591101884,0.0292265471071004,0.0275015402585268,0.0259428452700376,0.0247808117419481,0.0242934208363294,0.024724205955863,0.0263928547501564,0.0299438461661338,0.0363364443182945,0.0465924441814422,0.0616029985249042,0.082033172249794,0.1082099378108978,0.1399473845958709,0.1763993948698043,0.2160648852586746,0.2570524513721466,0.2974373996257782,0.3354360163211822,0.3695389628410339,0.3987270891666412,0.4226081073284149,0.44137904047966,0.4557071924209595,0.4664735496044159,0.4745826721191406,0.480749636888504,0.485493540763855,0.4891617894172668,0.4920407831668854,0.4943153858184814,0.4961227178573608,0.4975393712520599,0.4986278116703033,0.4994428753852844,0.5000299215316772,0.5004459619522095,0.5007409453392029,0.5009623169898987,0.5011381506919861,0.5013110041618347,0.5015057325363159,0.501729428768158,0.5019814968109131,0.5022374391555786,0.5024842619895935,0.5027218461036682,0.5029311776161194,0.5031050443649292,0.5031965970993042,0.5031735301017761,0.5029923915863037,0.5026143193244934,0.5019592046737671,0.5009438991546631,0.4994929134845733,0.4975381195545196,0.4950222969055176,0.4919350445270538,0.4882850646972656,0.4841585159301758,0.4797082543373108,0.4751409888267517,0.4706936776638031,0.4666093587875366,0.4630909264087677,0.4602802395820617,0.4582306742668152,0.4567556083202362,0.4558979868888855,0.4556676149368286,0.4560622870922088,0.457084059715271
VN_BS_2-13_2-16_20250420_raw_vnir_cube_bottom_left_mean_spectrum,VN_DR_BS_2-15_20250420_raw_vnir,DR_2-15,20250420,DR,train,2,0.3230765163898468,0.2602830231189728,0.2045366466045379,0.1558358669281005,0.1141781732439994,0.0795654579997062,0.0404534228146076,0.0169232599437236,0.0125414719805121,0.0168235562741756,0.0191364604979753,0.0201987624168396,0.0207383930683136,0.0210795812308788,0.0213569160550832,0.0216571148484945,0.0220546182245016,0.0227167252451181,0.0239377990365028,0.0260499212890863,0.0294654667377471,0.0344403833150863,0.0408455841243267,0.0482022240757942,0.0558140613138675,0.062968797981739,0.0690680220723152,0.0736026614904403,0.0762577727437019,0.0769674777984619,0.0759029984474182,0.0733814314007759,0.0697777718305587,0.0654672905802726,0.060874480754137,0.0564746223390102,0.0526305101811885,0.0494524836540222,0.0468382500112056,0.0445703417062759,0.0424643978476524,0.0404656305909156,0.0385823473334312,0.0368120744824409,0.0351353771984577,0.0335545502603054,0.0320788547396659,0.0307039469480514,0.0294543467462062,0.0284504201263189,0.0279055815190076,0.0280575416982173,0.0291188340634107,0.0314155519008636,0.03559235855937,0.0425635240972042,0.0532825514674186,0.068562313914299,0.0889656320214271,0.1146866828203201,0.1454376131296157,0.1803535223007202,0.218030035495758,0.2567498683929443,0.2947633266448974,0.3304350674152374,0.3624139130115509,0.3898327350616455,0.4123604893684387,0.4302152395248413,0.4440109431743622,0.4545856118202209,0.4628009498119354,0.4693372845649719,0.4746885895729065,0.4791915714740753,0.4830572307109833,0.4864803552627563,0.4895472228527069,0.4922801852226257,0.4946665167808532,0.4967067539691925,0.498461365699768,0.500015377998352,0.5014120936393738,0.5026916861534119,0.5038686394691467,0.50495445728302,0.5059455633163452,0.506822943687439,0.507575511932373,0.5082247257232666,0.5088148713111877,0.5093766450881958,0.509951114654541,0.5105580687522888,0.5112126469612122,0.5118700861930847,0.5124921202659607,0.513033926486969,0.513444185256958,0.5136566162109375,0.513580858707428,0.5131374597549438,0.5122337937355042,0.5108370780944824,0.5089319348335266,0.5065669417381287,0.5038354992866516,0.500892698764801,0.4979089200496673,0.4951182007789612,0.4927927851676941,0.4912416636943817,0.490782231092453,0.4918613731861114,0.494057685136795,0.4973693490028381,0.5017937421798706,0.5073307156562805
