sample,class,cluster_0,cluster_1,cluster_2
VN_DR_BS_2-10_20250419_raw_vnir,DR,43.865348294633925,41.710032218642375,14.424619486723698
VN_DR_BS_2-10_20250420_raw_vnir,DR,39.11717348456739,40.19151623258363,20.69131028284898
VN_DR_BS_2-10_20250421_raw_vnir,DR,37.279819641407094,42.57579754884998,20.14438280974293
VN_DR_BS_2-10_20250422_raw_vnir,DR,23.956170081895745,50.457037231968194,25.58679268613606
VN_DR_BS_2-10_20250423_raw_vnir,DR,22.404261227374853,43.73532678666094,33.860411985964205
VN_DR_BS_2-11_20250419_raw_vnir,DR,28.43178444388427,53.34705767022378,18.22115788589194
VN_DR_BS_2-11_20250420_raw_vnir,DR,34.81845024339638,46.48711196233341,18.69443779427021
VN_DR_BS_2-11_20250421_raw_vnir,DR,37.91607907830668,42.55001311383187,19.533907807861457
VN_DR_BS_2-11_20250422_raw_vnir,DR,36.57852428211895,38.75404475860338,24.667430959277674
VN_DR_BS_2-11_20250423_raw_vnir,DR,32.18246831855682,44.172083942704,23.645447738739183
VN_DR_BS_2-12_20250419_raw_vnir,DR,38.89496264639136,46.27664861104209,14.828388742566547
VN_DR_BS_2-12_20250420_raw_vnir,DR,29.511049013728062,46.72813428851997,23.76081669775197
VN_DR_BS_2-12_20250421_raw_vnir,DR,24.376867351532763,51.92772070560308,23.69541194286416
VN_DR_BS_2-12_20250422_raw_vnir,DR,17.990796894850114,54.16638090665935,27.842822198490534
VN_DR_BS_2-12_20250423_raw_vnir,DR,19.63181755735678,51.91085189024467,28.457330552398556
VN_DR_BS_2-13_20250419_raw_vnir,DR,36.20103771979044,45.351380999514554,18.447581280695008
VN_DR_BS_2-13_20250420_raw_vnir,DR,41.83044608204711,37.2624308059257,20.907123112027186
VN_DR_BS_2-13_20250421_raw_vnir,DR,35.385608500657355,45.2648513094703,19.349540189872346
VN_DR_BS_2-13_20250422_raw_vnir,DR,32.502099161347104,44.88293592583975,22.614964912813146
VN_DR_BS_2-13_20250423_raw_vnir,DR,37.97741932231077,41.50300325029999,20.51957742738924
VN_DR_BS_2-14_20250419_raw_vnir,DR,43.865348294633925,41.710032218642375,14.424619486723698
VN_DR_BS_2-14_20250420_raw_vnir,DR,32.25337382047504,47.317467661478766,20.429158518046197
VN_DR_BS_2-14_20250421_raw_vnir,DR,41.11367592522516,41.3320214939832,17.554302580791646
VN_DR_BS_2-14_20250422_raw_vnir,DR,36.6983709113555,44.08199227209036,19.219636816554146
VN_DR_BS_2-14_20250423_raw_vnir,DR,44.114874563489515,42.36633316908399,13.5187922674265
VN_DR_BS_2-15_20250419_raw_vnir,DR,28.43178444388427,53.34705767022378,18.22115788589194
VN_DR_BS_2-15_20250420_raw_vnir,DR,23.88853918584806,57.64248956839434,18.468971245757597
VN_DR_BS_2-15_20250421_raw_vnir,DR,31.960303332899176,53.488111260655,14.551585406445824
VN_DR_BS_2-15_20250422_raw_vnir,DR,29.965297602716873,47.76547704673701,22.26922535054612
VN_DR_BS_2-15_20250423_raw_vnir,DR,28.00682186620521,51.43293549525687,20.560242638537922
VN_DR_BS_2-16_20250419_raw_vnir,DR,38.89496264639136,46.27664861104209,14.828388742566547
VN_DR_BS_2-16_20250420_raw_vnir,DR,33.151174360056686,51.33679561009436,15.512030029848948
VN_DR_BS_2-16_20250421_raw_vnir,DR,39.06911243025474,46.894129810863326,14.036757758881938
VN_DR_BS_2-16_20250422_raw_vnir,DR,42.270590189647244,39.974270713813844,17.755139096538908
VN_DR_BS_2-16_20250423_raw_vnir,DR,31.040083311493948,50.97415136760507,17.985765320900978
VN_DR_BS_2-17_20250419_raw_vnir,DR,34.651291331309196,44.34857995199624,21.000128716694554
VN_DR_BS_2-17_20250420_raw_vnir,DR,26.353416324082975,54.40000288998548,19.24658078593155
VN_DR_BS_2-17_20250421_raw_vnir,DR,43.47914290180219,36.943486459431504,19.5773706387663
VN_DR_BS_2-17_20250422_raw_vnir,DR,34.37809703492171,46.79046241713711,18.831440547941185
VN_DR_BS_2-17_20250423_raw_vnir,DR,32.62138458292729,46.34799760227985,21.030617814792862
VN_DR_BS_2-18_20250419_raw_vnir,DR,30.550594736664756,46.37261178690568,23.076793476429557
VN_DR_BS_2-18_20250420_raw_vnir,DR,29.698580632558595,47.145044771641956,23.156374595799452
VN_DR_BS_2-18_20250421_raw_vnir,DR,31.94576967439579,49.06288679151291,18.9913435340913
VN_DR_BS_2-18_20250422_raw_vnir,DR,31.854632371632974,48.48052664071759,19.66484098764943
VN_DR_BS_2-18_20250423_raw_vnir,DR,31.263260211775872,47.74031459600151,20.996425192222613
VN_DR_BS_2-19_20250419_raw_vnir,DR,20.534856274275526,57.9159678603922,21.549175865332266
VN_DR_BS_2-19_20250420_raw_vnir,DR,28.780371050793075,52.528980257199784,18.69064869200714
VN_DR_BS_2-19_20250421_raw_vnir,DR,27.655174964859064,49.883110157579345,22.46171487756159
VN_DR_BS_2-19_20250422_raw_vnir,DR,28.78850323436128,50.72195244324189,20.48954432239683
VN_DR_BS_2-19_20250423_raw_vnir,DR,25.07903164002628,52.114010838624914,22.806957521348806
VN_DR_BS_2-1_20250419_raw_vnir,DR,41.98817880330063,45.711821538945955,12.299999657753427
VN_DR_BS_2-1_20250420_raw_vnir,DR,32.06866597992076,51.266012858725176,16.665321161354075
VN_DR_BS_2-1_20250421_raw_vnir,DR,38.80309264666843,44.42261746748075,16.77428988585081
VN_DR_BS_2-1_20250422_raw_vnir,DR,22.167728038281663,54.331986439501826,23.50028552221652
VN_DR_BS_2-1_20250423_raw_vnir,DR,32.59204830439435,52.235196396338836,15.172755299266807
VN_DR_BS_2-20_20250419_raw_vnir,DR,24.582915415601043,52.62957599760053,22.78750858679842
VN_DR_BS_2-20_20250420_raw_vnir,DR,14.643334976410111,55.062703650831246,30.293961372758645
VN_DR_BS_2-20_20250421_raw_vnir,DR,21.697785032411712,53.9910892877451,24.311125679843194
VN_DR_BS_2-20_20250422_raw_vnir,DR,19.508864900671206,56.70089155958714,23.790243539741656
VN_DR_BS_2-20_20250423_raw_vnir,DR,18.406499555218822,52.833915664076905,28.759584780704277
VN_DR_BS_2-2_20250419_raw_vnir,DR,29.952914658228764,49.580240585395984,20.46684475637525
VN_DR_BS_2-2_20250420_raw_vnir,DR,28.22382860069811,49.606000061058964,22.170171338242927
VN_DR_BS_2-2_20250421_raw_vnir,DR,24.381949486072372,51.86434093716964,23.753709576757988
VN_DR_BS_2-2_20250422_raw_vnir,DR,16.373948221649737,51.94454511912808,31.68150665922218
VN_DR_BS_2-2_20250423_raw_vnir,DR,24.72912622287676,50.4843691725081,24.786504604615132
VN_DR_BS_2-3_20250419_raw_vnir,DR,29.78486014784233,47.8786651104316,22.33647474172607
VN_DR_BS_2-3_20250420_raw_vnir,DR,25.118134357055798,49.58188584799286,25.299979794951344
VN_DR_BS_2-3_20250421_raw_vnir,DR,27.31052412232828,50.4832403897676,22.206235487904106
VN_DR_BS_2-3_20250422_raw_vnir,DR,16.225713170199054,46.91321971704911,36.86106711275183
VN_DR_BS_2-3_20250423_raw_vnir,DR,21.70788410130367,49.11093233330377,29.18118356539256
VN_DR_BS_2-4_20250419_raw_vnir,DR,17.10194656049629,62.6019823028653,20.296071136638414
VN_DR_BS_2-4_20250420_raw_vnir,DR,20.105048736553258,58.36433730071884,21.5306139627279
VN_DR_BS_2-4_20250421_raw_vnir,DR,24.02929901849532,57.760167138713314,18.210533842791364
VN_DR_BS_2-4_20250422_raw_vnir,DR,19.778311532344446,53.63627511441462,26.585413353240938
VN_DR_BS_2-4_20250423_raw_vnir,DR,20.998997449206207,47.58626378507341,31.41473876572038
VN_DR_BS_2-5_20250419_raw_vnir,DR,44.80813640057612,40.266010090037895,14.92585350938599
