sample_id,cluster_sample_id,feat_400.00,feat_405.04,feat_410.08,feat_415.13,feat_420.17,feat_425.21,feat_430.25,feat_435.29,feat_440.34,feat_445.38,feat_450.42,feat_455.46,feat_460.50,feat_465.55,feat_470.59,feat_475.63,feat_480.67,feat_485.71,feat_490.76,feat_495.80,feat_500.84,feat_505.88,feat_510.92,feat_515.97,feat_521.01,feat_526.05,feat_531.09,feat_536.13,feat_541.18,feat_546.22,feat_551.26,feat_556.30,feat_561.34,feat_566.39,feat_571.43,feat_576.47,feat_581.51,feat_586.55,feat_591.60,feat_596.64,feat_601.68,feat_606.72,feat_611.76,feat_616.81,feat_621.85,feat_626.89,feat_631.93,feat_636.97,feat_642.02,feat_647.06,feat_652.10,feat_657.14,feat_662.18,feat_667.23,feat_672.27,feat_677.31,feat_682.35,feat_687.39,feat_692.44,feat_697.48,feat_702.52,feat_707.56,feat_712.61,feat_717.65,feat_722.69,feat_727.73,feat_732.77,feat_737.82,feat_742.86,feat_747.90,feat_752.94,feat_757.98,feat_763.03,feat_768.07,feat_773.11,feat_778.15,feat_783.19,feat_788.24,feat_793.28,feat_798.32,feat_803.36,feat_808.40,feat_813.45,feat_818.49,feat_823.53,feat_828.57,feat_833.61,feat_838.66,feat_843.70,feat_848.74,feat_853.78,feat_858.82,feat_863.87,feat_868.91,feat_873.95,feat_878.99,feat_884.03,feat_889.08,feat_894.12,feat_899.16,feat_904.20,feat_909.24,feat_914.29,feat_919.33,feat_924.37,feat_929.41,feat_934.45,feat_939.50,feat_944.54,feat_949.58,feat_954.62,feat_959.66,feat_964.71,feat_969.75,feat_974.79,feat_979.83,feat_984.87,feat_989.92,feat_994.96,feat_1000.00,label
VN_BS_3-9_3-12_20250416_raw_vnir_cube_bottom_right_mean_spectrum,VN_MD_BS_3-12_20250416_raw_vnir,0.5376381278038025,0.44825536012649536,0.36802026629447937,0.2969289720058441,0.23499257862567902,0.1822020411491394,0.11993806809186935,0.07629133760929108,0.061194323003292084,0.06890284270048141,0.07331714779138565,0.0727415606379509,0.0706057921051979,0.06851004809141159,0.0674566701054573,0.06786675751209259,0.06986229866743088,0.07379687577486038,0.08074311912059784,0.0916837751865387,0.10728123784065247,0.12781058251857758,0.15258966386318207,0.1799202412366867,0.20753592252731323,0.23319628834724426,0.25493741035461426,0.271196186542511,0.28118544816970825,0.2847622334957123,0.2823931574821472,0.2750084102153778,0.26377078890800476,0.24991847574710846,0.23485231399536133,0.2201557457447052,0.20701487362384796,0.19583743810653687,0.1863444596529007,0.17783240973949432,0.16970808804035187,0.16178981959819794,0.15414303541183472,0.14679054915905,0.1396344155073166,0.13257090747356415,0.12550927698612213,0.11828933656215668,0.11082395911216736,0.1034124493598938,0.09682043641805649,0.09204807877540588,0.09020765870809555,0.092873714864254,0.10231096297502518,0.12094634771347046,0.15051908791065216,0.19158388674259186,0.2435007393360138,0.30454862117767334,0.37197184562683105,0.4422057569026947,0.5116217732429504,0.5773470997810364,0.6374400854110718,0.6904330253601074,0.7353115677833557,0.7716811299324036,0.7999001145362854,0.8208838105201721,0.8358723521232605,0.8462570905685425,0.8533588647842407,0.8582674264907837,0.8616703748703003,0.8639782071113586,0.8655067086219788,0.8664478063583374,0.8670016527175903,0.8672593235969543,0.8672999143600464,0.8671776652336121,0.8669682741165161,0.8666958808898926,0.8663771152496338,0.8660252094268799,0.8656094074249268,0.865159809589386,0.8646580576896667,0.864117443561554,0.8635794520378113,0.8630203008651733,0.862453281879425,0.8618826270103455,0.8612993359565735,0.8607096672058105,0.8600730895996094,0.8593509197235107,0.8584814071655273,0.8574258685112,0.8561262488365173,0.854548990726471,0.852612316608429,0.850258469581604,0.8474007844924927,0.8439858555793762,0.8399884104728699,0.8354829549789429,0.8306199312210083,0.8256033062934875,0.8206712603569031,0.8160516619682312,0.8118572235107422,0.8081080317497253,0.8047221899032593,0.8012368679046631,0.7979390025138855,0.7948166728019714,0.7918710112571716,0.789108157157898,MD
VN_BS_3-5_3-8_20250423_raw_vnir_cube.npy_top_left_mean_spectrum,VN_SD_BS_3-5_20250423_raw_vnir,0.45023906230926514,0.3746460974216461,0.3073694407939911,0.24840953946113586,0.19776678085327148,0.15544040501117706,0.10782148689031601,0.07790777832269669,0.0680021345615387,0.07424379885196686,0.07985293120145798,0.08217865973711014,0.08356476575136185,0.08429808914661407,0.08503001183271408,0.08592372387647629,0.08751411736011505,0.09003621339797974,0.09383638203144073,0.09951861202716827,0.10754670947790146,0.11789164692163467,0.12983128428459167,0.14273601770401,0.15545248985290527,0.16702689230442047,0.17676015198230743,0.18403366208076477,0.1885852813720703,0.19042323529720306,0.18979524075984955,0.187120720744133,0.18281204998493195,0.17734813690185547,0.1712673455476761,0.1652667075395584,0.15990392863750458,0.15532971918582916,0.15141761302947998,0.14789247512817383,0.1445349156856537,0.14128591120243073,0.13815584778785706,0.13508780300617218,0.13195361196994781,0.12874363362789154,0.12549245357513428,0.12221015989780426,0.1189323216676712,0.11584725230932236,0.11337323486804962,0.11207404732704163,0.11266181617975235,0.11605948209762573,0.12342403829097748,0.13598598539829254,0.15465576946735382,0.17970317602157593,0.21073928475379944,0.2469223588705063,0.2870965003967285,0.32981377840042114,0.3734980821609497,0.4166720509529114,0.45801931619644165,0.4963615834712982,0.5306755304336548,0.5602324604988098,0.5847271680831909,0.6043740510940552,0.6199139356613159,0.6323683261871338,0.6426262855529785,0.6512774229049683,0.6587279438972473,0.6652936339378357,0.6711828112602234,0.6764879822731018,0.6812316179275513,0.6854836344718933,0.6893791556358337,0.6929982304573059,0.6963014006614685,0.6992484331130981,0.7018606066703796,0.7041664123535156,0.706125020980835,0.7077124714851379,0.7090383172035217,0.7103736400604248,0.7119902968406677,0.7140170335769653,0.7164146304130554,0.7190794944763184,0.7218980193138123,0.7247775197029114,0.7276242971420288,0.7303223609924316,0.7327888011932373,0.7349686622619629,0.7367827892303467,0.7380787134170532,0.7386904954910278,0.7386142611503601,0.7380704879760742,0.7374087572097778,0.736925482749939,0.7367217540740967,0.7367172241210938,0.7367057204246521,0.7365005612373352,0.735978364944458,0.7350335121154785,0.7337826490402222,0.732466459274292,0.7320065498352051,0.731783926486969,0.7317994236946106,0.7320517897605896,0.7325415015220642,SD
VN_BS_3-5_3-8_20250422_raw_vnir_cube.npy_top_left_mean_spectrum,VN_SD_BS_3-5_20250422_raw_vnir,0.49970918893814087,0.4326934814453125,0.37360334396362305,0.32244357466697693,0.2792120575904846,0.24390824139118195,0.20365116000175476,0.1796044409275055,0.1803925782442093,0.18928270041942596,0.19235889613628387,0.19373303651809692,0.19523900747299194,0.1972864270210266,0.19987396895885468,0.2030644416809082,0.20670713484287262,0.21068812906742096,0.21466784179210663,0.21849040687084198,0.22221247851848602,0.22579118609428406,0.2292037457227707,0.2324216514825821,0.23539891839027405,0.23804160952568054,0.24023857712745667,0.24200841784477234,0.24332170188426971,0.24420727789402008,0.24475258588790894,0.24497269093990326,0.24489042162895203,0.2445502132177353,0.24402453005313873,0.24337908625602722,0.24267004430294037,0.24192805588245392,0.24116170406341553,0.24035267531871796,0.2394920289516449,0.23859651386737823,0.2376989722251892,0.23678401112556458,0.23581187427043915,0.23476989567279816,0.23368176817893982,0.23254245519638062,0.23132464289665222,0.23004908859729767,0.22884002327919006,0.22792018949985504,0.22758781909942627,0.2281612753868103,0.22994767129421234,0.2331894338130951,0.23800216615200043,0.24430033564567566,0.25182920694351196,0.26028409600257874,0.2693634629249573,0.2787523567676544,0.28814834356307983,0.29728609323501587,0.30591335892677307,0.3137947618961334,0.320761501789093,0.32672005891799927,0.33166608214378357,0.3356814980506897,0.33891499042510986,0.3415287435054779,0.34366583824157715,0.34543871879577637,0.346929669380188,0.34820419549942017,0.34933656454086304,0.3503994345664978,0.35143426060676575,0.35243523120880127,0.3533935844898224,0.3543094992637634,0.35516858100891113,0.3559627830982208,0.35668429732322693,0.35731610655784607,0.357849657535553,0.3582838475704193,0.3586191236972809,0.3588797450065613,0.3591028153896332,0.3593425154685974,0.3596460521221161,0.36004355549812317,0.3605358898639679,0.361078679561615,0.36160093545913696,0.36204519867897034,0.3623795807361603,0.3626108765602112,0.3627554774284363,0.3628261387348175,0.36280539631843567,0.3626684248447418,0.3623899519443512,0.36197689175605774,0.3614751994609833,0.36097967624664307,0.36062192916870117,0.36053383350372314,0.36081668734550476,0.3614710867404938,0.36242198944091797,0.3636062741279602,0.3650367558002472,0.3674471080303192,0.37039268016815186,0.37387603521347046,0.3778923451900482,0.3824479579925537,SD
VN_BS_1-9_1-12_20250419_raw_vnir_cube_top_right_mean_spectrum,VN_WW_BS_1-10_20250419_raw_vnir,0.56788170337677,0.4849092960357666,0.4084776043891907,0.3385857939720154,0.27523699402809143,0.21842579543590546,0.1450609266757965,0.08880221098661423,0.06088920682668686,0.05997851863503456,0.06726144999265671,0.0708327516913414,0.07213833928108215,0.07239563763141632,0.07229042798280716,0.07232708483934402,0.07310802489519119,0.0753624364733696,0.08012200891971588,0.08852371573448181,0.10168343782424927,0.11991456151008606,0.14246635138988495,0.16771148145198822,0.19334672391414642,0.21712447702884674,0.23713088035583496,0.25194981694221497,0.26088008284568787,0.26383182406425476,0.2613389492034912,0.25429773330688477,0.24379900097846985,0.230948343873024,0.21697759628295898,0.203281432390213,0.19097936153411865,0.1805226057767868,0.17168544232845306,0.16382582485675812,0.1563882678747177,0.14919273555278778,0.14224180579185486,0.135491281747818,0.12882524728775024,0.12217715382575989,0.1155439242720604,0.10886243730783463,0.10210524499416351,0.09554997086524963,0.08987165242433548,0.0859096348285675,0.08460020273923874,0.08736184984445572,0.09633437544107437,0.11392814666032791,0.1420517861843109,0.18158142268657684,0.23225392401218414,0.2927265763282776,0.36061346530914307,0.4326566457748413,0.5053353309631348,0.5756260752677917,0.6411907076835632,0.7001562118530273,0.7511032819747925,0.7932917475700378,0.8267677426338196,0.8522974252700806,0.871102511882782,0.8846441507339478,0.8943670392036438,0.9014187455177307,0.9066060781478882,0.910462498664856,0.9133638739585876,0.9156147241592407,0.9173877835273743,0.9187655448913574,0.9198294281959534,0.9205917716026306,0.9211124181747437,0.9214420914649963,0.9216243624687195,0.921699047088623,0.921671986579895,0.9215437173843384,0.9212956428527832,0.920903205871582,0.9203570485115051,0.9196996092796326,0.918978750705719,0.9182623624801636,0.9175824522972107,0.9169682264328003,0.9163652062416077,0.9157534241676331,0.9150563478469849,0.9141970276832581,0.9131209254264832,0.9117425084114075,0.9099647998809814,0.9077006578445435,0.904833197593689,0.9012478590011597,0.8968827724456787,0.8918358683586121,0.886249303817749,0.8803778290748596,0.8745172619819641,0.8689954280853271,0.8640681505203247,0.859900712966919,0.8565387725830078,0.8534676432609558,0.8509315848350525,0.8489205837249756,0.8474501967430115,0.8465164303779602,WW
VN_BS_2-17_2-20_20250417_raw_vnir_cube_bottom_left_mean_spectrum,VN_MD_BS_2-19_20250417_raw_vnir,0.5071709752082825,0.41431060433387756,0.33238375186920166,0.26138490438461304,0.20131918787956238,0.15218429267406464,0.09919242560863495,0.06761438399553299,0.06427211314439774,0.07268077880144119,0.07627934217453003,0.0766887217760086,0.07614382356405258,0.07552116364240646,0.07531619071960449,0.0759214460849762,0.07767011225223541,0.08106104284524918,0.08698531240224838,0.09638191759586334,0.10994729399681091,0.1278982311487198,0.14950010180473328,0.1731514036655426,0.19674579799175262,0.21827873587608337,0.23608003556728363,0.24898765981197357,0.25645220279693604,0.2584885358810425,0.2556597888469696,0.24877795577049255,0.2387993484735489,0.22672998905181885,0.21371306478977203,0.2010926902294159,0.18986846506595612,0.18036112189292908,0.1722925901412964,0.16504846513271332,0.15816336870193481,0.1515408754348755,0.1452264040708542,0.13916383683681488,0.13323989510536194,0.12743107974529266,0.12174908816814423,0.11613733321428299,0.11058788746595383,0.10539213567972183,0.10118626058101654,0.09872717410326004,0.09890707582235336,0.10320102423429489,0.11375001817941666,0.1327044516801834,0.16145378351211548,0.20027266442775726,0.24833990633487701,0.3038384020328522,0.36404797434806824,0.425677090883255,0.48561862111091614,0.5416386127471924,0.5923068523406982,0.6365931034088135,0.6738433837890625,0.7040039896965027,0.727581799030304,0.7454897165298462,0.7588193416595459,0.7686893939971924,0.7761031985282898,0.7817736268043518,0.7862094044685364,0.7896777987480164,0.7924564480781555,0.7947235107421875,0.7966281175613403,0.798195481300354,0.7994024157524109,0.8002671599388123,0.800857663154602,0.8012736439704895,0.8016051054000854,0.8019123077392578,0.80228590965271,0.8027689456939697,0.8034204244613647,0.8042032122612,0.805014431476593,0.8057624101638794,0.8063569664955139,0.8067807555198669,0.8070301413536072,0.8071424961090088,0.8072077631950378,0.8072755336761475,0.8073991537094116,0.8075143694877625,0.8075537085533142,0.8073883652687073,0.8069572448730469,0.8062009215354919,0.8050751090049744,0.8035363554954529,0.8015152812004089,0.7990255355834961,0.7961162328720093,0.7929688692092896,0.789819061756134,0.7870557904243469,0.7850539684295654,0.7841615080833435,0.7845879793167114,0.7854505181312561,0.7871429324150085,0.7896690964698792,0.7930144667625427,0.7971876859664917,MD
VN_BS_3-5_3-8__20250415_raw_vnir_cube_top_left_mean_spectrum,VN_MD_BS_3-5_20250415_raw_vnir,0.5304704904556274,0.43291938304901123,0.3464946746826172,0.27119559049606323,0.20702466368675232,0.15397749841213226,0.09647507965564728,0.05874061957001686,0.052315402776002884,0.06071467325091362,0.06567393988370895,0.067548468708992,0.06801770627498627,0.06797986477613449,0.06806807965040207,0.06877880543470383,0.07065381854772568,0.07445577532052994,0.0812012106180191,0.0919966995716095,0.1076752319931984,0.12832002341747284,0.1530047208070755,0.17990824580192566,0.20678022503852844,0.23138858377933502,0.2518670856952667,0.26697251200675964,0.27616769075393677,0.279466837644577,0.27740898728370667,0.2708755135536194,0.26089659333229065,0.2485349029302597,0.23507045209407806,0.22190001606941223,0.21006682515144348,0.1999393105506897,0.19122785329818726,0.18328037858009338,0.17559917271137238,0.16813169419765472,0.16097910702228546,0.1541072428226471,0.14737871289253235,0.1407182365655899,0.13409759104251862,0.12742547690868378,0.12064387649297714,0.11401430517435074,0.1082320436835289,0.10425609350204468,0.103371761739254,0.10755500197410583,0.11932814121246338,0.14095252752304077,0.17365549504756927,0.21729041635990143,0.2704785466194153,0.3309032618999481,0.3954940438270569,0.4607977271080017,0.5238128900527954,0.5825421810150146,0.635765016078949,0.6825499534606934,0.7221966981887817,0.7545336484909058,0.7800108194351196,0.799602746963501,0.8144811987876892,0.8258371949195862,0.8346352577209473,0.8416156768798828,0.8472652435302734,0.851955235004425,0.855887234210968,0.8592333197593689,0.8621031641960144,0.8645792007446289,0.8666681051254272,0.8683642148971558,0.8696666955947876,0.8706728219985962,0.8714379072189331,0.8720641732215881,0.8726209998130798,0.8731703162193298,0.8737429976463318,0.8743544816970825,0.8749788403511047,0.8755925297737122,0.8761681914329529,0.8767052292823792,0.8772069215774536,0.8776763081550598,0.8781282901763916,0.8785438537597656,0.8788987994194031,0.8791903257369995,0.8793923854827881,0.8795120716094971,0.8794625401496887,0.8791535496711731,0.8784363269805908,0.8772406578063965,0.8755365610122681,0.8733842372894287,0.8709040284156799,0.8682175874710083,0.8654940724372864,0.8628223538398743,0.8602596521377563,0.8578346371650696,0.8556044697761536,0.8537151217460632,0.8520393967628479,0.850567638874054,0.84932541847229,0.8482851982116699,MD
VN_BS_1-9_1-12_20250422_raw_vnir_cube_top_right_mean_spectrum,VN_WW_BS_1-10_20250422_raw_vnir,0.5545576810836792,0.47516483068466187,0.40191784501075745,0.33481672406196594,0.2738618552684784,0.21904833614826202,0.14866116642951965,0.09430713206529617,0.06658417731523514,0.0643235296010971,0.07089231163263321,0.0744335874915123,0.07612932473421097,0.0767773911356926,0.07672476023435593,0.07635065913200378,0.07623308897018433,0.07707957178354263,0.07990060746669769,0.08590443432331085,0.09639117866754532,0.11216862499713898,0.13281357288360596,0.1567760556936264,0.1818140298128128,0.20563039183616638,0.22618983685970306,0.2418375462293625,0.2515694797039032,0.25517207384109497,0.2531183063983917,0.2463163137435913,0.23588857054710388,0.2229887694120407,0.20889779925346375,0.19504797458648682,0.18262484669685364,0.1721191108226776,0.16334015130996704,0.15568210184574127,0.14853394031524658,0.14164260029792786,0.13498015701770782,0.12850725650787354,0.12213420122861862,0.11581896245479584,0.10953819751739502,0.10322277247905731,0.09686002880334854,0.09071926027536392,0.08543087542057037,0.08178912103176117,0.08058559894561768,0.08295512199401855,0.09080395102500916,0.10653693974018097,0.13227973878383636,0.16927970945835114,0.21774056553840637,0.2767793536186218,0.3443649113178253,0.41737741231918335,0.49207615852355957,0.5649741291999817,0.6333637833595276,0.6951763033866882,0.7488719820976257,0.7935816645622253,0.8292701840400696,0.8566423058509827,0.8769551515579224,0.89168781042099,0.9023040533065796,0.9099963903427124,0.9157091379165649,0.9200631380081177,0.9234887361526489,0.9262772798538208,0.9286016821861267,0.9305330514907837,0.932145893573761,0.933476448059082,0.9345873594284058,0.935524046421051,0.9362900853157043,0.9368946552276611,0.9373742341995239,0.9377366304397583,0.9379776120185852,0.9381093978881836,0.9381258487701416,0.9380697011947632,0.937974750995636,0.9378847479820251,0.9378253817558289,0.9377758502960205,0.9377288818359375,0.937610924243927,0.9373598098754883,0.936865508556366,0.9361010193824768,0.9349790215492249,0.9334364533424377,0.9313809871673584,0.9287154078483582,0.9253085255622864,0.9211320877075195,0.9162361025810242,0.9107791185379028,0.9049994945526123,0.8992093801498413,0.8936359882354736,0.8884157538414001,0.8836057782173157,0.8791196942329407,0.8746368885040283,0.8703444004058838,0.8662286996841431,0.8623091578483582,0.8585654497146606,WW
VN_BS_3-1_3-4_20250417_raw_vnir_cube_top_left_mean_spectrum,VN_MD_BS_3-1_20250417_raw_vnir,0.511985719203949,0.41885092854499817,0.3363461494445801,0.26448512077331543,0.20326194167137146,0.15267932415008545,0.09705725312232971,0.06343410909175873,0.05719078704714775,0.06379657238721848,0.06588297337293625,0.06466425210237503,0.0627407506108284,0.0613882876932621,0.06151142343878746,0.06335259228944778,0.06667076796293259,0.071578748524189,0.07905884087085724,0.08977091312408447,0.10425880551338196,0.12281230837106705,0.14480799436569214,0.1686762571334839,0.19235125184059143,0.2139173299074173,0.23171338438987732,0.24455498158931732,0.2519387900829315,0.25377628207206726,0.25057345628738403,0.24319623410701752,0.2326921820640564,0.22008846700191498,0.20657262206077576,0.19353240728378296,0.18200261890888214,0.17230957746505737,0.16409403085708618,0.15666984021663666,0.1495540589094162,0.14266031980514526,0.1360626071691513,0.12972617149353027,0.12354560941457748,0.11753477156162262,0.11171962320804596,0.1060330867767334,0.10048417001962662,0.09538321197032928,0.09135844558477402,0.0891382098197937,0.08955003321170807,0.09395721554756165,0.10437048971652985,0.12288495898246765,0.15096092224121094,0.1890788972377777,0.23671936988830566,0.29242318868637085,0.3538646697998047,0.4180642366409302,0.48196354508399963,0.5430702567100525,0.5994614362716675,0.6495966911315918,0.6923805475234985,0.7273886203765869,0.7548962235450745,0.7757881283760071,0.7913381457328796,0.8029488921165466,0.8118082880973816,0.818728506565094,0.8241747617721558,0.8284770846366882,0.8319059610366821,0.8346961140632629,0.8370733261108398,0.8391452431678772,0.8409851789474487,0.8425635099411011,0.8438640236854553,0.8447965383529663,0.8452695608139038,0.8452321290969849,0.8447642922401428,0.8440759778022766,0.8433759808540344,0.8428542017936707,0.8426147103309631,0.8426948189735413,0.8430636525154114,0.8436415195465088,0.8443344235420227,0.8450576066970825,0.8457472324371338,0.8463461995124817,0.8467954397201538,0.8470104336738586,0.846889853477478,0.8463445901870728,0.845257043838501,0.8435534834861755,0.8412067890167236,0.8382505774497986,0.8346760272979736,0.830541729927063,0.8259797096252441,0.821194052696228,0.816458523273468,0.8120667934417725,0.8082296252250671,0.8050770163536072,0.8025786876678467,0.8000803589820862,0.797944962978363,0.7961671352386475,0.7947489619255066,0.7936986684799194,MD
VN_BS_1-5_1-8_20250417_raw_vnir_cube_bottom_right_mean_spectrum,VN_WW_BS_1-8_20250417_raw_vnir,0.5378307700157166,0.4508049488067627,0.37218695878982544,0.30198225378990173,0.2401881068944931,0.18680241703987122,0.12075191736221313,0.07352264970541,0.056909818202257156,0.06395062059164047,0.07020141929388046,0.07203608006238937,0.07204239815473557,0.07135481387376785,0.07057224214076996,0.07019895315170288,0.0707290768623352,0.07287908345460892,0.07767879962921143,0.08628643304109573,0.09985502064228058,0.11885973066091537,0.14263714849948883,0.16951611638069153,0.19715054333209991,0.22313736379146576,0.24534715712070465,0.26216232776641846,0.2726888060569763,0.2768217921257019,0.2751080393791199,0.2684761881828308,0.2580510675907135,0.24502266943454742,0.2307123988866806,0.21656359732151031,0.20375487208366394,0.19279134273529053,0.18348492681980133,0.17522402107715607,0.16741503775119781,0.15985234081745148,0.15254263579845428,0.145431786775589,0.13836655020713806,0.13122713565826416,0.12398013472557068,0.1165684387087822,0.10898827016353607,0.1015203520655632,0.09484491497278214,0.08986669778823853,0.08763614296913147,0.08975357562303543,0.09857764840126038,0.11664358526468277,0.14580120146274567,0.18669302761554718,0.23869964480400085,0.30003389716148376,0.3678337037563324,0.43846023082733154,0.508250892162323,0.5743461847305298,0.6348176598548889,0.6882414817810059,0.7336392402648926,0.7706289887428284,0.7995362281799316,0.8212250471115112,0.8369167447090149,0.8479892015457153,0.8557350039482117,0.861204981803894,0.8650882244110107,0.8678552508354187,0.8697938919067383,0.8711435198783875,0.8720744848251343,0.8726469874382019,0.8729087710380554,0.8728875517845154,0.8726330399513245,0.8722118735313416,0.8716641664505005,0.8710493445396423,0.8704002499580383,0.8697798252105713,0.8691809773445129,0.8686130046844482,0.8680571913719177,0.8675052523612976,0.8669409155845642,0.8664024472236633,0.8658745288848877,0.865372896194458,0.8648340106010437,0.8641842007637024,0.8633294701576233,0.8622075915336609,0.8607956767082214,0.85905921459198,0.856923520565033,0.854313850402832,0.8511313199996948,0.8473713397979736,0.8430736660957336,0.8383398652076721,0.8333486914634705,0.8283376693725586,0.8235077857971191,0.8189947009086609,0.8149013519287109,0.8112198710441589,0.8078653812408447,0.8045595288276672,0.8014554381370544,0.7985724210739136,0.7959092259407043,0.7934707999229431,WW
VN_BS_2-13_2-16_20250420_raw_vnir_cube_bottom_left_mean_spectrum,VN_DR_BS_2-15_20250420_raw_vnir,0.4856409728527069,0.39991456270217896,0.3241352438926697,0.25829800963401794,0.20240430533885956,0.15645232796669006,0.10467618703842163,0.07362712174654007,0.07125619053840637,0.08021421730518341,0.08352793753147125,0.08386117964982986,0.08349541574716568,0.08316300064325333,0.08315721154212952,0.08367741852998734,0.084967702627182,0.0874144583940506,0.09169585257768631,0.09864187985658646,0.1091168075799942,0.1235441043972969,0.14150671660900116,0.1616290956735611,0.1820639818906784,0.2010107934474945,0.21690908074378967,0.22852720320224762,0.23518513143062592,0.23683354258537292,0.23395343124866486,0.22735029458999634,0.21791602671146393,0.2065994292497635,0.19451160728931427,0.1828831285238266,0.1726260483264923,0.16403484344482422,0.156832754611969,0.1504504680633545,0.14443883299827576,0.13867869973182678,0.13319021463394165,0.12796562910079956,0.12296102195978165,0.11817578226327896,0.11361345648765564,0.10920292884111404,0.10493242740631104,0.10104744881391525,0.09806874394416809,0.0965837761759758,0.09719739854335785,0.10096384584903717,0.10965581983327866,0.12534235417842865,0.14969168603420258,0.18358929455280304,0.22704389691352844,0.27913588285446167,0.3379437029361725,0.40069738030433655,0.46428781747817993,0.5259606242179871,0.583574652671814,0.6353968381881714,0.6801303625106812,0.7171794176101685,0.7467169165611267,0.7695104479789734,0.7867047786712646,0.7996135950088501,0.8094339966773987,0.8170936703681946,0.823192298412323,0.8281152844429016,0.8321197628974915,0.8354853987693787,0.8383942246437073,0.8409264087677002,0.8430837988853455,0.8448781967163086,0.8463525772094727,0.8475902080535889,0.8486301898956299,0.849535346031189,0.8503676652908325,0.8511847853660583,0.8520157933235168,0.8528145551681519,0.8535152077674866,0.8540675640106201,0.8544384241104126,0.8546493053436279,0.8547446131706238,0.8547691106796265,0.8547939658164978,0.854862630367279,0.8550061583518982,0.855202853679657,0.855387270450592,0.8554338216781616,0.8551673293113708,0.8544273376464844,0.8530634641647339,0.8510249257087708,0.8483638763427734,0.8451862931251526,0.841648519039154,0.8378904461860657,0.8340858221054077,0.8303831219673157,0.826882541179657,0.8235910534858704,0.8205994367599487,0.8182684183120728,0.8163336515426636,0.8148006200790405,0.8136629462242126,0.812919557094574,DR
