sample,class,cluster_0,cluster_1,cluster_2
SW_DR_2-18_20250420_raw_swir,DR,25.349614916903125,48.31272800972842,26.337657073368465
SW_DR_2-18_20250421_raw_swir,DR,31.947937263634792,45.4877042099403,22.56435852642491
SW_DR_2-18_20250422_raw_swir,DR,28.746966537922546,41.097856923129505,30.15517653894794
SW_DR_2-18_20250423_raw_swir,DR,32.92771280292165,39.85332603906377,27.218961158014576
SW_DR_2-19_20250419_raw_swir,DR,32.92463216895206,45.025522970673606,22.04984486037434
SW_DR_2-19_20250420_raw_swir,DR,28.170361296168885,50.45057139500931,21.379067308821803
SW_DR_2-19_20250421_raw_swir,DR,32.12843816035872,43.597849055955464,24.27371278368581
SW_DR_2-19_20250422_raw_swir,DR,33.848237202198185,34.1332451540775,32.018517643724316
SW_DR_2-19_20250423_raw_swir,DR,29.643730834166004,34.28143196774972,36.074837198084275
SW_DR_2-1_20250419_raw_swir,DR,43.0611018835919,36.69470261865215,20.244195497755946
SW_DR_2-1_20250420_raw_swir,DR,41.488445528922064,40.724128032151576,17.787426438926367
SW_DR_2-1_20250421_raw_swir,DR,53.13071297989032,31.72760511882998,15.141681901279707
SW_DR_2-1_20250422_raw_swir,DR,45.69805531367915,36.877168249229456,17.424776437091403
SW_DR_2-1_20250423_raw_swir,DR,51.704477611940305,32.55223880597015,15.743283582089552
SW_DR_2-20_20250419_raw_swir,DR,27.889954970006524,40.546088118764615,31.563956911228857
SW_DR_2-20_20250420_raw_swir,DR,21.23584277148568,45.69680818848041,33.06734904003392
SW_DR_2-20_20250421_raw_swir,DR,26.105477612631383,40.80041981139356,33.09410257597506
SW_DR_2-20_20250422_raw_swir,DR,23.782094667569083,39.68146537447979,36.53643995795113
SW_DR_2-20_20250423_raw_swir,DR,17.792256989165846,39.83029017349799,42.37745283733616
SW_DR_2-2_20250419_raw_swir,DR,19.284858422147945,44.78779088099893,35.927350696853125
SW_DR_2-2_20250420_raw_swir,DR,20.07133406201461,44.24006212966692,35.68860380831847
SW_DR_2-2_20250421_raw_swir,DR,23.851669739807416,40.659700880967016,35.488629379225564
SW_DR_2-2_20250422_raw_swir,DR,13.804515802573816,43.61537725140521,42.580106946020976
SW_DR_2-2_20250423_raw_swir,DR,22.20845685294161,39.37731368818489,38.4142294588735
SW_DR_2-3_20250419_raw_swir,DR,40.20520446096654,35.803717472118954,23.991078066914497
SW_DR_2-3_20250420_raw_swir,DR,33.45742278157661,42.042958832416936,24.49961838600645
SW_DR_2-3_20250421_raw_swir,DR,41.60594393356031,36.234766283768735,22.159289782670953
SW_DR_2-3_20250422_raw_swir,DR,20.747370900475246,37.64704252282709,41.605586576697654
SW_DR_2-3_20250423_raw_swir,DR,30.529938858794313,36.4654283515111,33.00463278969458
SW_DR_2-4_20250419_raw_swir,DR,23.949406534989233,45.602859630631045,30.447733834379726
SW_DR_2-4_20250420_raw_swir,DR,33.47434580286457,40.782317036320784,25.74333716081465
SW_DR_2-4_20250421_raw_swir,DR,29.423228551451224,47.559469792766926,23.017301655781846
SW_DR_2-4_20250422_raw_swir,DR,22.681777817913638,42.735660209810206,34.58256197227615
SW_DR_2-4_20250423_raw_swir,DR,21.22310210705991,35.316338808517784,43.46055908442231
SW_DR_2-5_20250419_raw_swir,DR,44.62269628610137,39.41205565471711,15.965248059181523
SW_DR_2-5_20250420_raw_swir,DR,60.12177872839549,25.525235450374307,14.352985821230208
SW_DR_2-5_20250421_raw_swir,DR,57.16923974145054,26.54343987428923,16.287320384260234
SW_DR_2-5_20250422_raw_swir,DR,34.711429241115695,36.316102626976544,28.972468131907757
SW_DR_2-5_20250423_raw_swir,DR,39.31364801883597,37.27200890193359,23.414343079230434
SW_DR_2-6_20250419_raw_swir,DR,37.98748532066675,40.918093702346944,21.09442097698631
SW_DR_2-6_20250420_raw_swir,DR,51.95020053475936,31.5975935828877,16.452205882352942
SW_DR_2-6_20250421_raw_swir,DR,48.09881139355864,33.92860605355516,17.972582552886198
SW_DR_2-6_20250422_raw_swir,DR,37.02788563360395,37.776208965760674,25.19590540063537
SW_DR_2-6_20250423_raw_swir,DR,24.36776311999539,43.64882769744801,31.9834091825566
SW_DR_2-7_20250419_raw_swir,DR,44.95903545490322,35.42985939680155,19.61110514829523
SW_DR_2-7_20250420_raw_swir,DR,50.25051680039242,34.58358151431275,15.16590168529484
SW_DR_2-7_20250421_raw_swir,DR,50.75310533694128,34.14729566719917,15.09959899585955
SW_DR_2-7_20250422_raw_swir,DR,32.436989549486256,35.63186089400193,31.931149556511812
SW_DR_2-7_20250423_raw_swir,DR,41.17685941672616,31.92141931731049,26.901721265963353
SW_DR_2-8_20250419_raw_swir,DR,32.12434150012543,39.43055439418012,28.44510410569446
SW_DR_2-8_20250420_raw_swir,DR,35.91385433615004,38.37890795850172,25.70723770534824
SW_DR_2-8_20250421_raw_swir,DR,39.48733076636442,34.987889703142464,25.52477953049311
SW_DR_2-8_20250422_raw_swir,DR,28.110315325533914,39.49995138866383,32.389733285802244
SW_DR_2-8_20250423_raw_swir,DR,14.318347602411027,40.31942258225516,45.36222981533382
SW_DR_2-9_20250419_raw_swir,DR,45.56028094593724,36.75655647915458,17.683162574908177
SW_DR_2-9_20250420_raw_swir,DR,39.8852201007901,43.180770392509096,16.934009506700793
SW_DR_2-9_20250421_raw_swir,DR,44.047174342280805,42.970987423733035,12.981838233986162
SW_DR_2-9_20250422_raw_swir,DR,37.65600821438385,38.546863927574584,23.797127858041563
SW_DR_2-9_20250423_raw_swir,DR,37.04888913950604,37.61418743656254,25.336923423931427
SW_MD_2-10_20250414_raw_swir,MD,29.986299394289013,37.97411306605134,32.03958753965965
SW_MD_2-10_20250415_raw_swir,MD,35.818392880175416,36.94790956496103,27.233697554863557
SW_MD_2-10_20250416_raw_swir,MD,32.80677009873061,38.73866612935724,28.45456377191215
SW_MD_2-10_20250417_raw_swir,MD,51.24916499665999,32.787797817857935,15.963037185482076
SW_MD_2-10_20250418_raw_swir,MD,46.41395361279795,38.20925068885263,15.37679569834943
SW_MD_2-11_20250414_raw_swir,MD,27.809316432070926,53.38154859112942,18.809134976799648
SW_MD_2-11_20250415_raw_swir,MD,38.491870098799346,48.22116875636879,13.286961144831864
SW_MD_2-11_20250416_raw_swir,MD,39.401172133471974,45.37763493713962,15.22119292938841
SW_MD_2-11_20250417_raw_swir,MD,46.14505297107514,40.54991936965441,13.305027659270449
SW_MD_2-11_20250418_raw_swir,MD,36.46343523053538,42.05159601418679,21.484968755277826
SW_MD_2-12_20250414_raw_swir,MD,32.00208822761681,44.3207666778536,23.67714509452959
SW_MD_2-12_20250415_raw_swir,MD,23.345044378698223,49.33616863905325,27.318786982248522
SW_MD_2-12_20250416_raw_swir,MD,20.68411587016116,55.20944282446614,24.1064413053727
SW_MD_2-12_20250417_raw_swir,MD,31.752904283372533,44.78298054308317,23.464115173544293
SW_MD_2-12_20250418_raw_swir,MD,24.357960077896788,49.625730282375855,26.016309639727357
SW_MD_2-13_20250414_raw_swir,MD,31.301548984107825,49.1933212633273,19.505129752564876
SW_MD_2-13_20250415_raw_swir,MD,42.937215513674154,47.415641575442955,9.647142910882895
SW_MD_2-13_20250416_raw_swir,MD,38.608934298846016,44.16228548755084,17.228780213603148
SW_MD_2-13_20250417_raw_swir,MD,47.267747294688164,37.929744211455855,14.802508493855987
SW_MD_2-13_20250418_raw_swir,MD,43.952748194393436,43.55184233076264,12.495409474843921
SW_MD_2-14_20250414_raw_swir,MD,32.04602928780067,47.309403854070695,20.644566858128638
SW_MD_2-14_20250415_raw_swir,MD,37.61961372805052,43.468262166007285,18.912124105942198
SW_MD_2-14_20250416_raw_swir,MD,35.513296873043046,41.424873711017405,23.061829415939545
SW_MD_2-14_20250417_raw_swir,MD,46.378554683518495,36.64662113953725,16.974824176944246
SW_MD_2-14_20250418_raw_swir,MD,47.305732624567135,35.101572666916645,17.592694708516223
SW_MD_2-15_20250414_raw_swir,MD,26.759455577593872,53.02133916968743,20.21920525271869
SW_MD_2-15_20250415_raw_swir,MD,44.60636088746403,39.47684797260374,15.916791139932238
SW_MD_2-15_20250416_raw_swir,MD,37.96396364473894,39.652392679340224,22.38364367592084
SW_MD_2-15_20250417_raw_swir,MD,43.13641580268047,36.20961310276411,20.65397109455543
